+====================+===================+=======================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                   |
+====================+===================+=======================================================+
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/mult__1/RSTB          |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/mult/RSTB             |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/theta_data_reg[14]/R  |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/theta_data_reg[12]/R  |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/mult__0/RSTA          |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/theta_data_reg[2]/R   |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/theta_data_reg[5]/R   |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/theta_data_reg[13]/R  |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/theta_data_reg[15]/R  |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/theta_data_reg[16]/R  |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/count_reg[5]/R        |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/count_reg[21]/R       |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/count_reg[19]/R       |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/count_reg[26]/R       |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/count_reg[24]/R       |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/count_reg[25]/R       |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/count_reg[27]/R       |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/count_reg[13]/R       |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/count_reg[14]/R       |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/count_reg[12]/R       |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/count_reg[15]/R       |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/count_reg[17]/R       |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/count_reg[23]/R       |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/theta_data_reg[4]/R   |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/theta_data_reg[6]/R   |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/theta_data_reg[11]/R  |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/theta_data_reg[7]/R   |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/theta_data_reg[10]/R  |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/theta_data_reg[9]/R   |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/theta_data_reg[8]/R   |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/theta_data_reg[28]/R  |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/theta_data_reg[30]/R  |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/theta_data_reg[29]/R  |
| adc_clk            | clk_fpga_0        | system_i/theta_data_test_0/inst/theta_data_reg[31]/R  |
